aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,LAT,LON,Unnamed: 0,plot_ID,system:index
796.5714285714286,0.24520255863539445,47.39583333333333,878.0,110.3529411764706,10.5,1108.6666666666667,1783.875,0.0,72.55555555555556,218.55555555555554,1097.25,69.0,202.3846153846154,35.138399,-84.180002,1,37_39_63,0
799.7,0.0911062906724512,66.66666666666667,868.5,116.5,26.6,994.1111111111111,1791.9,0.0,57.38095238095238,202.5,1016.1428571428571,60.0,258.2857142857143,35.056361,-83.650709,2,37_43_9,1
783.225,0.1425438596491228,11.363636363636363,867.4444444444445,108.58823529411765,14.625,999.75,1800.1666666666667,0.0,54.333333333333336,196.75,968.0,58.0,291.48333333333335,35.795849,-82.229811,3,37_199_11,2
783.225,0.1425438596491228,11.363636363636363,867.4444444444445,108.58823529411765,14.625,999.75,1800.1666666666667,0.0,54.333333333333336,196.75,968.0,58.0,291.48333333333335,35.804517,-82.350409,4,37_21_56,3
787.375,0.24336283185840707,-14.75,894.1111111111111,104.55555555555556,8.0,1071.4583333333335,1797.3333333333333,0.0,72.6,216.71428571428572,1043.8333333333333,70.0,216.3846153846154,35.898331,-81.810685,5,37_23_5,4
